Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,95.000000,101.269997,84.500000,91.250000,91.250000,320138000
2016-08-01,91.230003,98.849998,90.500000,97.449997,97.449997,182611000
2016-09-01,97.809998,100.349998,93.260002,98.550003,98.550003,169670600
2016-10-01,98.000000,129.289993,97.629997,124.870003,124.870003,274097800
2016-11-01,124.980003,125.830002,110.680000,117.000000,117.000000,147480100
2016-12-01,117.519997,129.070007,113.949997,123.800003,123.800003,128528700
2017-01-01,124.959999,143.460007,124.309998,140.710007,140.710007,181799300
2017-02-01,141.199997,145.949997,139.050003,142.130005,142.130005,91444800
2017-03-01,142.839996,148.289993,138.259995,147.809998,147.809998,110692700
2017-04-01,146.699997,153.520004,138.660004,152.199997,152.199997,149779000
2017-05-01,151.910004,164.750000,151.610001,163.070007,163.070007,116795800
2017-06-01,163.520004,166.869995,161.699997,165.880005,165.880005,23461000
2017-06-12,155.369995,155.529999,148.309998,151.970001,151.970001,8301617
