0.564453125,0.7857666016,0.6623840332,0.381072998,0.7688598633
0.7059631348,0.8973693848,0.9024658203,0.8871765137,0.2195129395
0.0032043457,0.8897399902,0.2785949707,0.183013916,0.1077880859
0.366027832,0.1533813477,0.626159668,nan,0.9899902344
0.1981811523,0.0013122559,0.2066650391,0.552520752,0.7108154297
0.9038085938,0.054901123,0.7096862793,0.0261535645,0.919342041
0.1568908691,0.8585205078,0.5143432617,0.7543640137,0.4425354004
0.5612182617,0.9324951172,0.306060791,0.21484375,0.4248657227
0.4110412598,0.8280334473,0.2780151367,nan,0.8563232422
0.8479003906,0.8095092773,0.4999084473,0.0502624512,0.9930114746
